baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.16337645244	-5.82547152723886	0.143000616354626	-40.7373875423889	0	0
ENSMUSG00000025608.9	4401.56551917623	-8.31222791496083	0.197512644285982	-42.0845356256048	0	0
ENSMUSG00000045545.8	4088.20807486504	-9.124384603452	0.238751361595839	-38.2170997579392	0	0
ENSMUSG00000047586.4	2408.90618054247	-7.42293933597656	0.196904220083818	-37.6982236988966	0	0
ENSMUSG00000054889.10	6835.17220365944	-4.65295325514723	0.114964868939818	-40.4728270301683	0	0
ENSMUSG00000097767.8	4106.68439091642	-6.59496863454032	0.151466061090867	-43.5409001002798	0	0
ENSMUSG00000020758.15	6336.56338926404	-4.25976910999495	0.114958347845345	-37.0548915310238	1.49797772191402e-300	4.42652416825592e-297
ENSMUSG00000030693.10	1240.44669932691	-5.46805892625626	0.148332093051924	-36.8636268372627	1.76920377360885e-297	4.57449750713737e-294
ENSMUSG00000053797.10	2357.45800822322	-7.97903689345858	0.217491886084929	-36.6865957028983	1.19473067845291e-294	2.74588934264427e-291
ENSMUSG00000024406.16	2300.51857987667	-4.48190267189545	0.123011080589389	-36.4349508224877	1.19098955048698e-290	2.46356188518233e-287
ENSMUSG00000037820.15	3906.45455103882	-4.02385241563446	0.110661129522407	-36.3619315382075	1.70231764183169e-289	3.20113094738987e-286
ENSMUSG00000047281.3	1063.6861682756	-5.25830955109206	0.149595530860579	-35.1501780891619	1.15515725505288e-270	1.9912023183974e-267
ENSMUSG00000056602.12	1176.47110521885	-5.38978492768316	0.153516537576201	-35.1088228850122	4.94412237503738e-270	7.86685933289602e-267
ENSMUSG00000027375.14	3835.46961500607	-5.76189195326387	0.164600768043393	-35.0052555753864	1.8715032558595e-268	2.76514606053241e-265
ENSMUSG00000037185.9	1422.65034118587	-4.99078334706207	0.143864231378869	-34.6909255985857	1.07963314267463e-263	1.48881410374831e-260
ENSMUSG00000026413.12	1670.17880239693	-5.50788186675365	0.162347789679248	-33.9264358180399	2.71574676608762e-252	3.51095136603266e-249
ENSMUSG00000031995.9	1272.04805798208	-6.00945191891879	0.18016186441193	-33.3558488558851	5.99253770808611e-244	7.29150838186831e-241
ENSMUSG00000019102.10	4252.04610680305	-3.7565313613928	0.117388671443684	-32.0007996955222	1.0628392526155e-224	1.22137944113064e-221
ENSMUSG00000034282.3	1267.16146385798	-6.84024070841481	0.216709912768459	-31.5640416307267	1.15070767021482e-218	1.2527572714944e-215
ENSMUSG00000074796.10	890.944677595984	-4.2756366639127	0.135819235043762	-31.4803471138314	1.61393716383618e-217	1.66921451169757e-214
ENSMUSG00000028435.8	1000.57990516764	-6.2533819975863	0.20004735637579	-31.2595083028205	1.6580538140885e-214	1.63318300687717e-211
ENSMUSG00000042793.13	993.577056096021	-4.19097411889813	0.135037246427793	-31.0356900023071	1.77973231267848e-211	1.67335285853429e-208
ENSMUSG00000049382.10	5899.24719927413	-10.8667700646475	0.354158614950567	-30.6833424514164	9.49524948948479e-207	8.53953198652143e-204
ENSMUSG00000063450.14	2006.13071708961	-3.4557684421616	0.113624713598197	-30.4138803322489	3.60004674092338e-203	3.10279028483334e-200
ENSMUSG00000022871.13	1099.79549067163	-6.65644963021243	0.221666196209271	-30.0291598089597	4.08598507810797e-198	3.38074405362653e-195
ENSMUSG00000020788.15	2104.96010861974	-8.81858137850667	0.298916720163147	-29.5018002796683	2.72987160628205e-191	2.17182285292093e-188
ENSMUSG00000025432.11	1237.60466193523	-6.45486986041759	0.218901058780909	-29.4876137025818	4.15022852724254e-191	3.17953618837082e-188
ENSMUSG00000061126.5	1586.32545775654	-8.12854583247797	0.276569449694536	-29.3906136106346	7.23885047802013e-190	5.34770079063737e-187
ENSMUSG00000003153.10	1022.19351298947	-4.75296748359973	0.169210084701881	-28.0891501944086	1.32923500175028e-173	9.48111241765672e-171
ENSMUSG00000060716.7	840.076923777231	-6.73481270420631	0.239866578762977	-28.0773284003908	1.85339252145877e-173	1.27791414354582e-170
ENSMUSG00000040703.11	1371.16362980935	-7.27373219817242	0.261007095985658	-27.8679480751439	6.52886991617459e-171	4.35644110374424e-168
ENSMUSG00000048699.4	2458.6534235011	-9.60287442270315	0.347628352632854	-27.6239678092229	5.73573272718034e-168	3.70761348317892e-165
ENSMUSG00000038295.14	631.271001193846	-5.23881430977552	0.191088382982595	-27.4156608999758	1.78439106795045e-165	1.1184887648653e-162
ENSMUSG00000012350.15	1200.69320244598	-7.68145634312418	0.282776382301152	-27.1644197461425	1.71066980879091e-162	1.04074132337765e-159
ENSMUSG00000024421.16	651.430113696563	-5.80219771588449	0.215275977326546	-26.9523696417055	5.35090531842291e-160	3.16238504318794e-157
ENSMUSG00000048373.8	879.008245983356	-7.22961802152471	0.279660114267538	-25.8514448528347	2.34376720435558e-147	1.34668957283597e-144
ENSMUSG00000024331.11	731.901491012138	-5.56457158916123	0.220063242377856	-25.2862383060169	4.5265710264912e-141	2.53059788332353e-138
ENSMUSG00000031297.14	803.308102743891	-3.90824520254996	0.154644079788048	-25.2725174342692	6.40680617748385e-141	3.48749436266457e-138
ENSMUSG00000043439.5	659.510711211953	-5.17596123450135	0.205085943591808	-25.2380106790902	1.53359565532242e-140	8.133955418037e-138
ENSMUSG00000018166.8	696.965072168707	-6.81087678393072	0.270550865378759	-25.1741082934472	7.69730059882387e-140	3.9804665721668e-137
ENSMUSG00000074227.12	750.562336170268	-3.91030425874385	0.156134190473493	-25.0445097699962	2.00365702915832e-138	1.01086940605219e-135
ENSMUSG00000115388.2	609.404758943759	-6.50243918796774	0.260718416384164	-24.9404674903614	2.70963556278302e-137	1.33449551467064e-134
ENSMUSG00000020911.14	1699.48342222496	-3.62475549722062	0.145374615402534	-24.9338956955028	3.19299351303026e-137	1.53597839109374e-134
ENSMUSG00000018849.6	1056.22873873508	-3.6330613566977	0.14617679084581	-24.8538864184665	2.34742677867643e-136	1.10355733902095e-133
ENSMUSG00000074272.10	525.078568599599	-4.94684266169726	0.199688760388082	-24.7727646367447	1.76278434991001e-135	8.10293206175302e-133
ENSMUSG00000022218.16	1164.81388175531	-8.52442815704112	0.349429761242506	-24.3952550771001	1.92044846285328e-131	8.63575575089566e-129
